UID,y
2628,158739.45
2629,153565.47
2630,158739.45
2631,173129.78
2632,158739.45
2633,156530.98
2634,153565.47
2635,30430.623
2636,167877.47
2637,152828.66
2638,137271.73
2639,129210.03
2640,40118.527
2641,150249.81
2642,159721.0
2643,156530.98
2644,129370.766
2645,156530.98
2646,168958.27
2647,159023.58
2648,167327.89
2649,152828.66
2650,156530.98
2651,158739.45
2652,70785.98
2653,31228.246
2654,156530.98
2655,61194.992
2656,153565.47
2657,150249.81
2658,150986.64
2659,153565.47
2660,153565.47
2661,142467.83
2662,132078.2
2663,158778.17
2664,157021.77
2665,158248.69
2666,162420.2
2667,153933.88
2668,31228.246
2669,150986.64
2670,150986.64
2671,127472.414
2672,153565.47
2673,164930.25
2674,150249.81
2675,152828.66
2676,136604.97
2677,166346.36
2678,132609.42
2679,150249.81
2680,153565.47
2681,150249.81
2682,150249.81
2683,158739.45
2684,157021.77
2685,168958.27
2686,54207.227
2687,150249.81
2688,146675.94
2689,158739.45
2690,153565.47
2691,150986.64
2692,149769.0
2693,127472.414
2694,159423.8
2695,153565.47
2696,156530.98
2697,150249.81
2698,150249.81
2699,130891.74
2700,153565.47
2701,139239.97
2702,104797.69
2703,158739.45
2704,150986.64
2705,150249.81
2706,157021.77
2707,157021.77
2708,137326.61
2709,158248.69
2710,169051.8
2711,150249.81
2712,158402.38
2713,127472.414
2714,129750.94
2715,153565.47
2716,158739.45
2717,153565.47
2718,113484.87
2719,141230.03
2720,160702.53
2721,150249.81
2722,130891.74
2723,156144.28
2724,153565.47
2725,158984.84
2726,150249.81
2727,158739.45
2728,129370.766
2729,157021.77
2730,156530.98
2731,157757.92
2732,153565.47
2733,127472.414
2734,54249.105
2735,153565.47
2736,150249.81
2737,106555.87
2738,131382.5
2739,150986.64
2740,169449.03
2741,150986.64
2742,159721.0
2743,127472.414
2744,65630.91
2745,141421.83
2746,156530.98
2747,164561.84
2748,153565.47
2749,157021.77
2750,158739.45
2751,156285.61
2752,162044.2
2753,156530.98
2754,129750.94
2755,131382.5
2756,156530.98
2757,153565.47
2758,53642.617
2759,78299.97
2760,78299.97
2761,135757.62
2762,159721.0
2763,78973.27
2764,77456.99
2765,59291.08
2766,180444.56
2767,150249.81
2768,127472.414
2769,150986.64
2770,156512.69
2771,150249.81
2772,138529.05
2773,150249.81
2774,152828.66
2775,130891.74
2776,158739.45
2777,170871.52
2778,156530.98
2779,140707.08
2780,139059.34
2781,153565.47
2782,122382.94
2783,130891.74
2784,80323.01
2785,158739.45
2786,106535.83
2787,80439.36
2788,167082.52
2789,164930.25
2790,65520.055
2791,40296.066
2792,38388.83
2793,133100.19
2794,157021.77
2795,150249.81
2796,158739.45
2797,158739.45
2798,156530.98
2799,72953.0
2800,141629.47
2801,152828.66
2802,156530.98
2803,58416.215
2804,153565.47
2805,127472.414
2806,156530.98
2807,153565.47
2808,141629.47
2809,164383.28
2810,150249.81
2811,152828.66
2812,168096.27
2813,150249.81
2814,129750.94
2815,150986.64
2816,142951.3
2817,159721.0
2818,129750.94
2819,133100.19
2820,158772.77
2821,108229.375
2822,158284.48
2823,159721.0
2824,131382.5
2825,158739.45
2826,63306.734
2827,82708.75
2828,173129.78
2829,45969.957
2830,153565.47
2831,77535.4
2832,153565.47
2833,153565.47
2834,143809.77
2835,156530.98
2836,153565.47
2837,156530.98
2838,166995.19
2839,157021.77
2840,157021.77
2841,153565.47
2842,153565.47
2843,150249.81
2844,150249.81
2845,53161.61
2846,152091.84
2847,151804.25
2848,33001.05
2849,156530.98
2850,165517.44
2851,54288.29
2852,54343.664
2853,40077.21
2854,150986.64
2855,130891.74
2856,53642.617
2857,153565.47
2858,92334.805
2859,39240.957
2860,85962.66
2861,127472.414
2862,158739.45
2863,161214.2
2864,158739.45
2865,133100.19
2866,153565.47
2867,157757.92
2868,108253.54
2869,153565.47
2870,152091.84
2871,71716.21
2872,158739.45
2873,46535.71
2874,156530.98
2875,166995.19
2876,75090.27
2877,153565.47
2878,158248.69
2879,168958.27
2880,150986.64
2881,150986.64
2882,153565.47
2883,89099.57
2884,150986.64
2885,130891.74
2886,153565.47
2887,157021.77
2888,153565.47
2889,59371.707
2890,150986.64
2891,158739.45
2892,157021.77
2893,160457.16
2894,157021.77
2895,65015.11
2896,150986.64
2897,153565.47
2898,39997.734
2899,157757.92
2900,156530.98
2901,169113.42
2902,158248.69
2903,164561.84
2904,150249.81
2905,150249.81
2906,158739.45
2907,158121.72
2908,153565.47
2909,142951.3
2910,153565.47
2911,153565.47
2912,158739.45
2913,167327.89
2914,94850.94
2915,88220.38
2916,156394.1
2917,153565.47
2918,157545.94
2919,153565.47
2920,158739.45
2921,150249.81
2922,156530.98
2923,156776.39
2924,82708.75
2925,130891.74
2926,135719.02
2927,158739.45
2928,175180.17
2929,132416.56
2930,150986.64
2931,156776.39
2932,150249.81
2933,60919.41
2934,152828.66
2935,158284.48
2936,150249.81
2937,150249.81
2938,150249.81
2939,150249.81
2940,136780.95
2941,158739.45
2942,127472.414
2943,156530.98
2944,165298.67
2945,153565.47
2946,126302.14
2947,155039.08
2948,150986.64
2949,150986.64
2950,167240.58
2951,153565.47
2952,153565.47
2953,135719.02
2954,146675.94
2955,76579.33
2956,158739.45
2957,165449.72
2958,142467.83
2959,152828.66
2960,158739.45
2961,66249.016
2962,150986.64
2963,153565.47
2964,82708.75
2965,158121.72
2966,115103.81
2967,130891.74
2968,153565.47
2969,48193.555
2970,142951.3
2971,131382.5
2972,150249.81
2973,158739.45
2974,170675.08
2975,150249.81
2976,85625.66
2977,153565.47
2978,50867.477
2979,157021.77
2980,158739.45
2981,60919.41
2982,156530.98
2983,153565.47
2984,137150.39
2985,131382.5
2986,157545.94
2987,161539.7
2988,80405.805
2989,73512.6
2990,132459.23
2991,158739.45
2992,158739.45
2993,153565.47
2994,153565.47
2995,150986.64
2996,129750.94
2997,141629.47
2998,104503.73
2999,153565.47
3000,57198.336
3001,131382.5
3002,158739.45
3003,158284.48
3004,137150.39
3005,156530.98
3006,167140.66
3007,82708.75
3008,164561.84
3009,150986.64
3010,152828.66
3011,153565.47
3012,150249.81
3013,142467.83
3014,141230.03
3015,157021.77
3016,158739.45
3017,157021.77
3018,111110.77
3019,153565.47
3020,157545.94
3021,129750.94
3022,150249.81
3023,156530.98
3024,146018.22
3025,150986.64
3026,156530.98
3027,156530.98
3028,150249.81
3029,146018.22
3030,43467.207
3031,156530.98
3032,37333.754
3033,158739.45
3034,131379.8
3035,156530.98
3036,137756.52
3037,133100.19
3038,153565.47
3039,129370.766
3040,68014.59
3041,156530.98
3042,167140.66
3043,77334.48
3044,150249.81
3045,132609.42
3046,152828.66
3047,128258.47
3048,128651.484
3049,52497.934
3050,129750.94
3051,158739.45
3052,156530.98
3053,153565.47
3054,182208.98
3055,143809.77
3056,164561.84
3057,169449.03
3058,126686.35
3059,109884.86
3060,150249.81
3061,157757.92
3062,133100.19
3063,164561.84
3064,153565.47
3065,150249.81
3066,153565.47
3067,153565.47
3068,168096.27
3069,164780.64
3070,82123.49
