UID,y
2628,158314.02
2629,154993.08
2630,158314.02
2631,204813.0
2632,158314.02
2633,165635.16
2634,154993.08
2635,57464.902
2636,163929.25
2637,173505.81
2638,121148.93
2639,97617.59
2640,23630.617
2641,164741.94
2642,162947.08
2643,165635.16
2644,156465.6
2645,165635.16
2646,176612.86
2647,157971.94
2648,139235.28
2649,173505.81
2650,165635.16
2651,158314.02
2652,106282.33
2653,41011.5
2654,165635.16
2655,36377.332
2656,154993.08
2657,164741.94
2658,130355.734
2659,154993.08
2660,154993.08
2661,114472.51
2662,159060.08
2663,138433.47
2664,125386.44
2665,185960.25
2666,200520.48
2667,229369.75
2668,41011.5
2669,130355.734
2670,130355.734
2671,114487.91
2672,154993.08
2673,209068.8
2674,164741.94
2675,173505.81
2676,112420.87
2677,155481.95
2678,162646.22
2679,164741.94
2680,154993.08
2681,164741.94
2682,164741.94
2683,158314.02
2684,125386.44
2685,176612.86
2686,73216.51
2687,164741.94
2688,242493.1
2689,158314.02
2690,154993.08
2691,130355.734
2692,125109.21
2693,114487.91
2694,173407.38
2695,154993.08
2696,165635.16
2697,164741.94
2698,164741.94
2699,131346.72
2700,154993.08
2701,138739.73
2702,68622.945
2703,158314.02
2704,130355.734
2705,164741.94
2706,125386.44
2707,125386.44
2708,101406.086
2709,185960.25
2710,273512.06
2711,164741.94
2712,224661.3
2713,114487.91
2714,133047.06
2715,154993.08
2716,158314.02
2717,154993.08
2718,108520.86
2719,42715.105
2720,135244.44
2721,164741.94
2722,131346.72
2723,182186.5
2724,154993.08
2725,231330.84
2726,164741.94
2727,158314.02
2728,156465.6
2729,125386.44
2730,165635.16
2731,158111.52
2732,154993.08
2733,114487.91
2734,34830.39
2735,154993.08
2736,164741.94
2737,80889.02
2738,106396.93
2739,130355.734
2740,162749.9
2741,130355.734
2742,162947.08
2743,114487.91
2744,46766.53
2745,134810.75
2746,165635.16
2747,161760.66
2748,154993.08
2749,125386.44
2750,158314.02
2751,188695.6
2752,128610.58
2753,165635.16
2754,133047.06
2755,106396.93
2756,165635.16
2757,154993.08
2758,63273.777
2759,87342.414
2760,87342.414
2761,123686.22
2762,162947.08
2763,86835.984
2764,80562.96
2765,43041.902
2766,160867.53
2767,164741.94
2768,114487.91
2769,130355.734
2770,152746.84
2771,164741.94
2772,142571.86
2773,164741.94
2774,173505.81
2775,131346.72
2776,158314.02
2777,185235.3
2778,165635.16
2779,141987.08
2780,113376.21
2781,154993.08
2782,170531.1
2783,131346.72
2784,72987.75
2785,158314.02
2786,88944.25
2787,135552.97
2788,139235.28
2789,209068.8
2790,30246.8
2791,36137.06
2792,60637.383
2793,133246.34
2794,125386.44
2795,164741.94
2796,158314.02
2797,158314.02
2798,165635.16
2799,47842.707
2800,150957.4
2801,173505.81
2802,165635.16
2803,12351.402
2804,154993.08
2805,114487.91
2806,165635.16
2807,154993.08
2808,150957.4
2809,155901.8
2810,164741.94
2811,173505.81
2812,61082.676
2813,164741.94
2814,133047.06
2815,130355.734
2816,75249.42
2817,162947.08
2818,133047.06
2819,133246.34
2820,120834.15
2821,71654.05
